last_name,first_name,birthday,gender,type,state,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Izard,Ralph,,M,sen,SC,Pro-Administration,,,,,,,,,,,I000053,,,,,412129,,,,4837,Ralph Izard
Johnson,William,1727-10-07,M,sen,CT,Pro-Administration,,,,,,,,,,,J000182,,,,,406077,,,,4998,William Samuel Johnson
Johnston,Samuel,1733-12-15,M,sen,NC,Pro-Administration,,,,,,,,,,,J000198,,,,,406093,,,,5012,
Lee,Richard,1732-01-20,M,sen,VA,Anti-Administration,,,,,,,,,,,L000201,,,,,406704,,,,5565,
Maclay,William,1737-07-20,M,sen,PA,Anti-Administration,,,,,,,,,,,M000031,,,,,407058,,,,5891,William Maclay (Pennsylvania senator)
Mathews,George,1739-08-30,M,rep,GA,,,,,,,,,,,,M000234,,,,,407252,,,,6071,
Morris,Robert,1734-01-20,M,sen,PA,Pro-Administration,,,,,,,,,,,M000985,,,,,407953,,,,6712,
Partridge,George,1740-02-08,M,rep,MA,,,,,,,,,,,,P000092,,,,,408502,,,,7224,George Partridge
Paterson,William,1745-12-24,M,sen,NJ,Pro-Administration,,,,,,,,,,,P000102,,,,,408510,,,,7231,William Paterson (judge)
Smith,William,1728-04-12,M,rep,MD,,,,,,,,,,,,S000624,,,,,410099,,,,8693,William Smith (Maryland)
Stone,Michael,,M,rep,MD,,,,,,,,,,,,S000961,,,,,410420,,,,8983,Michael J. Stone
Van Rensselaer,Jeremiah,1738-08-27,M,rep,NY,,,,,,,,,,,,V000053,,,,,411095,,,,9629,Jeremiah Van Rensselaer
Wynkoop,Henry,1737-03-02,M,rep,PA,,,,,,,,,,,,W000783,,,,,411931,,,,10405,
Dickinson,Philemon,1739-04-05,,sen,NJ,Pro-Administration,,,,,,,,,,,D000324,,,,,403444,,,,2576,Philemon Dickinson
Walker,John,1744-02-13,M,sen,VA,Pro-Administration,,,,,,,,,,,W000059,,,,,411238,,,,9747,
Ashe,John,,M,rep,NC,,,,,,,,,,,,A000307,,,,,400951,,,,259,
Barnwell,Robert,1761-12-21,M,rep,SC,,,,,,,,,,,,B000167,,,,,401169,,,,456,
Burr,Aaron,1756-02-06,M,sen,NY,Republican,,,,,,,,,,,B001133,,,,,402077,,,,1302,Aaron Burr
Cabot,George,1752-12-03,M,sen,MA,Federalist,,,,,,,,,,,C000009,,,,,402171,,,,1384,George Cabot
Carroll,Charles,1737-09-19,M,sen,MD,,,,,,,,,,,,C000185,,,,,402332,,,,1536,Charles Carroll of Carrollton
Ellsworth,Oliver,1745-04-29,M,sen,CT,Federalist,,,,,,,,,,,E000147,,,,,403838,,,,2936,Oliver Ellsworth
Gerry,Elbridge,1744-07-17,,rep,MA,,,,,,,,,,,,G000139,,,,,404507,,,,3541,Elbridge Gerry
Huger,Daniel,1742-02-20,M,rep,SC,,,,,,,,,,,,H000916,,,,,405761,,,,4695,Daniel Huger
Jacobs,Israel,1726-06-09,,rep,PA,,,,,,,,,,,,J000036,,,,,405941,,,,4871,Israel Jacobs
Key,Philip,,M,rep,MD,,,,,,,,,,,,K000158,,,,,406322,,,,5224,
Read,George,1733-09-18,M,sen,DE,,,,,,,,,,,,R000091,,,,,409071,,,,7762,
Robinson,Moses,1741-03-22,M,sen,VT,Republican,,,,,,,,,,,R000350,,,,,409321,,,,7989,
Schoonmaker,Cornelius,,M,rep,NY,,,,,,,,,,,,S000140,,,,,409648,,,,8272,Cornelius C. Schoonmaker
Seney,Joshua,1756-03-04,M,rep,MD,,,,,,,,,,,,S000242,,,,,409746,,,,8363,Joshua Seney
Sheredine,Upton,,,rep,MD,,,,,,,,,,,,S000340,,,,,409837,,,,8449,Upton Sheredine
Sherman,Roger,1721-04-19,M,sen,CT,Pro-Administration,,,,,,,,,,,S000349,,,,,409845,,,,8457,Roger Sherman
Silvester,Peter,,M,rep,NY,,,,,,,,,,,,S000412,,,,,409906,,,,8511,
Steele,John,1764-11-16,M,rep,NC,,,,,,,,,,,,S000832,,,,,410296,,,,8869,
Sterett,Samuel,,M,rep,MD,,,,,,,,,,,,S000866,,,,,410328,,,,8896,Samuel Sterett
Sturges,Jonathan,1740-08-23,M,rep,CT,,,,,,,,,,,,S001047,,,,,410501,,,,9062,
Tucker,Thomas,1745-06-25,M,rep,SC,,,,,,,,,,,,T000403,,,,,410972,,,,9501,
Wayne,Anthony,1745-01-01,M,rep,GA,,,,,,,,,,,,W000216,,,,,411384,,,,9885,
White,Alexander,,M,rep,VA,,,,,,,,,,,,W000352,,,,,411514,,,,10006,Alexander White (Virginia)
Williamson,Hugh,1735-12-05,M,rep,NC,Federalist,,,,,,,,,,,W000551,,,,,411707,,,,10193,
Willis,Francis,1745-01-05,,rep,GA,,,,,,,,,,,,W000560,,,,,411716,,,,10202,Francis Willis (Representative)
Edwards,John,,M,sen,KY,Anti-Administration,,,,,,,,,,,E000075,,,,,403764,,,,2866,
Potts,Richard,1753-07-19,M,sen,MD,Federalist,,,,,,,,,,,P000473,,,,,408858,,,,7564,Richard Potts
Armstrong,James,1748-08-29,M,rep,PA,,,,,,,,,,,,A000280,,,,,400920,,,,231,
Beatty,John,1749-12-10,M,rep,NJ,,,,,,,,,,,,B000282,,,,,401276,,,,554,
Boudinot,Elias,1740-05-02,,rep,NJ,,,,,,,,,,,,B000661,,,,,401623,,,,878,Elias Boudinot
Bourne,Shearjashub,1746-06-14,,rep,MA,,,,,,,,,,,,B000671,,,,,401633,,,,886,Shearjashub Bourne
Bradford,William,1729-11-04,M,sen,RI,Federalist,,,,,,,,,,,B000739,,,,,401699,,,,951,
Cadwalader,Lambert,,,rep,NJ,,,,,,,,,,,,C000012,,,,,402174,,,,1387,Lambert Cadwalader
Carnes,Thomas,,M,rep,GA,,,,,,,,,,,,C000163,,,,,402311,,,,1518,Thomas P. Carnes
Clark,Abraham,1726-02-15,M,rep,NJ,,,,,,,,,,,,C000418,,,,,402557,,,,1750,Abraham Clark
Cobb,David,1748-09-14,M,rep,MA,,,,,,,,,,,,C000545,,,,,402678,,,,1865,
Coffin,Peleg,1756-11-03,,rep,MA,,,,,,,,,,,,C000591,,,,,402720,,,,1906,"Peleg Coffin, Jr."
Dawson,William,,M,rep,NC,Anti-Administration,,,,,,,,,,,D000157,,,,,412032,,,,2432,William Johnston Dawson
Edwards,Benjamin,1753-08-12,M,rep,MD,,,,,,,,,,,,E000060,,,,,403755,,,,2859,Benjamin Edwards (Maryland)
Fitzsimons,Thomas,,M,rep,PA,,,,,,,,,,,,F000178,,,,,404133,,,,3196,
Forrest,Uriah,,,rep,MD,,,,,,,,,,,,F000282,,,,,404232,,,,3285,Uriah Forrest
Frelinghuysen,Frederick,1753-04-13,M,sen,NJ,Federalist,,,,,,,,,,,F000368,,,,,404314,,,,3361,
Gillon,Alexander,,M,rep,SC,,,,,,,,,,,,G000211,,,,,404574,,,,3607,
Gordon,James,1739-10-31,M,rep,NY,,,,,,,,,,,,G000311,,,,,404669,,,,3695,
Griffin,Samuel,,M,rep,VA,,,,,,,,,,,,G000466,,,,,404811,,,,3825,Samuel Griffin
Holten,Samuel,1738-06-09,M,rep,MA,,,,,,,,,,,,H000750,,,,,405601,,,,4546,Samuel Holten
Irvine,William,1741-11-03,M,rep,PA,,,,,,,,,,,,I000035,,,,,405892,,,,4820,
Learned,Amasa,1750-11-15,,rep,CT,,,,,,,,,,,,L000178,,,,,406680,,,,5543,
Lee,Richard,1761-01-20,M,rep,VA,,,,,,,,,,,,L000200,,,,,406703,,,,5564,
Martin,Alexander,,M,sen,NC,Republican,,,,,,,,,,,M000166,,,,,407188,,,,6012,
McDowell,Joseph,1758-02-25,M,rep,NC,,,,,,,,,,,,M000424,,,,,407423,,,,6230,
Mebane,Alexander,1744-11-26,M,rep,NC,,,,,,,,,,,,M000622,,,,,407611,,,,6401,Alexander Mebane
Mercer,John,1759-05-17,M,rep,MD,,,,,,,,,,,,M000645,,,,,407631,,,,6418,John Francis Mercer
Mitchell,Stephen,1743-12-09,M,sen,CT,Pro-Administration,,,,,,,,,,,M000828,,,,,407803,,,,6574,Stephen Mix Mitchell
Montgomery,William,1736-08-03,M,rep,PA,,,,,,,,,,,,M000873,,,,,407845,,,,6608,
Neville,Joseph,,M,rep,VA,,,,,,,,,,,,N000055,,,,,408143,,,,6883,
Niles,Nathaniel,1741-04-03,M,rep,VT,,,,,,,,,,,,N000109,,,,,408193,,,,6932,Nathaniel Niles (politician)
Pickens,Andrew,1739-09-13,M,rep,SC,,,,,,,,,,,,P000320,,,,,408719,,,,7425,
Scott,Thomas,,M,rep,PA,,,,,,,,,,,,S000186,,,,,409691,,,,8312,
Strong,Caleb,1745-01-09,,sen,MA,Federalist,,,,,,,,,,,S001009,,,,,410466,,,,9028,
Talbot,Silas,1751-01-11,,rep,NY,,,,,,,,,,,,T000019,,,,,410609,,,,9161,
Tredwell,Thomas,1743-02-06,M,rep,NY,,,,,,,,,,,,T000361,,,,,410931,,,,9463,Thomas Tredwell
Van Gaasbeck,Peter,1754-09-27,M,rep,NY,,,,,,,,,,,,V000039,,,,,411084,,,,9615,Peter Van Gaasbeck
Vining,John,1758-12-23,M,sen,DE,Federalist,,,,,,,,,,,V000104,,,,,411159,,,,9676,
Wadsworth,Jeremiah,1743-07-12,M,rep,CT,,,,,,,,,,,,W000013,,,,,411192,,,,9706,Jeremiah Wadsworth
Walker,Francis,1764-06-22,,rep,VA,,,,,,,,,,,,W000051,,,,,411230,,,,9739,
Ward,Artemas,1727-11-26,,rep,MA,,,,,,,,,,,,W000127,,,,,411302,,,,9808,Artemas Ward
Watts,John,1749-08-27,M,rep,NY,,,,,,,,,,,,W000211,,,,,411380,,,,9881,John Watts (New York politician)
Williams,Benjamin,1751-01-01,M,rep,NC,,,,,,,,,,,,W000491,,,,,411648,,,,10136,
Wingate,Paine,1739-05-14,,rep,NH,,,,,,,,,,,,W000633,,,,,411787,,,,10272,Paine Wingate
Tazewell,Henry,1753-11-27,M,sen,VA,Republican,,,,,,,,,,,T000107,,,,,410689,,,,9238,Henry Tazewell
Walton,George,,M,sen,GA,Federalist,,,,,,,,,,,W000114,,,,,412123,,,,9796,George Walton
Ames,Fisher,1758-04-09,,rep,MA,Federalist,,,,,,,,,,,A000174,,,,,400829,,,,154,Fisher Ames
Bingham,William,1752-03-08,M,sen,PA,Federalist,,,,,,,,,,,B000474,,,,,401455,,,,719,William Bingham
Bloodworth,Timothy,,M,sen,NC,Republican,,,,,,,,,,,B000563,,,,,401537,,,,800,
Bourne,Benjamin,1755-09-09,M,rep,RI,Federalist,,,,,,,,,,,B000669,,,,,401631,,,,884,Benjamin Bourne
Buck,Daniel,1753-11-09,M,rep,VT,Federalist,,,,,,,,,,,B001014,,,,,401964,,,,1195,Daniel Buck
Coles,Isaac,1747-03-02,M,rep,VA,Republican,,,,,,,,,,,C000624,,,,,402753,,,,1936,
Crabb,Jeremiah,,M,rep,MD,Federalist,,,,,,,,,,,C000848,,,,,402964,,,,2125,Jeremiah Crabb
Dearborn,Henry,1751-02-23,M,rep,MA,Republican,,,,,,,,,,,D000178,,,,,403340,,,,2451,Henry Dearborn
Duvall,Gabriel,1752-12-06,,rep,MD,Republican,,,,,,,,,,,D000578,,,,,403681,,,,2796,Gabriel Duvall
Earle,Samuel,1760-11-28,M,rep,SC,Republican,,,,,,,,,,,E000010,,,,,403706,,,,2816,Samuel Earle
Gilbert,Ezekiel,1756-03-25,,rep,NY,Federalist,,,,,,,,,,,G000173,,,,,404539,,,,3573,Ezekiel Gilbert
Greenup,Christopher,,M,rep,KY,Republican,,,,,,,,,,,G000434,,,,,404782,,,,3798,Christopher Greenup
Gunn,James,1753-03-13,M,sen,GA,Federalist,,,,,,,,,,,G000526,,,,,404870,,,,3877,
Hancock,George,1754-06-13,M,rep,VA,Federalist,,,,,,,,,,,H000148,,,,,405030,,,,4026,
Hathorn,John,1749-01-09,M,rep,NY,Republican,,,,,,,,,,,H000348,,,,,405217,,,,4193,John Hathorn
Heath,John,1758-05-08,M,rep,VA,Republican,,,,,,,,,,,H000431,,,,,405297,,,,4269,
Henderson,Thomas,1743-08-15,M,rep,NJ,Federalist,,,,,,,,,,,H000488,,,,,405351,,,,4315,Thomas Henderson (New Jersey)
Henry,John,,M,sen,MD,Federalist,,,,,,,,,,,H000508,,,,,405370,,,,4333,
Langdon,John,1741-06-26,M,sen,NH,Republican,,,,,,,,,,,L000067,,,,,406576,,,,5449,John Langdon (politician)
Leonard,George,1729-07-04,M,rep,MA,Federalist,,,,,,,,,,,L000246,,,,,406749,,,,5611,
Lyman,William,1755-12-07,M,rep,MA,Republican,,,,,,,,,,,L000530,,,,,407014,,,,5852,
Marshall,Humphrey,,,sen,KY,Federalist,,,,,,,,,,,M000155,,,,,407176,,,,6000,
Muhlenberg,Frederick,1750-01-01,M,rep,PA,Republican,,,,,,,,,,,M001063,,,,,408029,,,,6781,Frederick Muhlenberg
Murray,William,1760-02-09,M,rep,MD,Federalist,,,,,,,,,,,M001119,,,,,408082,,,,6830,William Vans Murray
Orr,Alexander,1761-11-06,M,rep,KY,Republican,,,,,,,,,,,O000101,,,,,408358,,,,7084,
Page,John,1743-04-17,M,rep,VA,Republican,,,,,,,,,,,P000018,,,,,408429,,,,7156,John Page (Virginia politician)
Paine,Elijah,1757-01-21,M,sen,VT,Federalist,,,,,,,,,,,P000026,,,,,408437,,,,7164,
Patten,John,1746-04-26,M,rep,DE,Republican,,,,,,,,,,,P000108,,,,,408516,,,,7235,
Preston,Francis,1765-08-02,,rep,VA,Republican,,,,,,,,,,,P000514,,,,,408899,,,,7603,
Read,Jacob,,M,sen,SC,Federalist,,,,,,,,,,,R000092,,,,,409072,,,,7763,Jacob Read
Richards,John,1753-04-18,M,rep,PA,Republican,,,,,,,,,,,R000215,,,,,409191,,,,7870,John Richards (Pennsylvania)
Rutherford,Robert,1728-10-20,M,rep,VA,Republican,,,,,,,,,,,R000548,,,,,409504,,,,8148,
Sherburne,John,,M,rep,NH,Republican,,,,,,,,,,,S000339,,,,,409836,,,,8448,John Samuel Sherburne
Smith,Isaac,,M,rep,NJ,Federalist,,,,,,,,,,,S000555,,,,,410037,,,,8637,Isaac Smith (New Jersey)
Sprigg,Thomas,,M,rep,MD,Republican,,,,,,,,,,,S000753,,,,,410220,,,,8811,Thomas Sprigg
Strudwick,William,,M,rep,NC,Federalist,,,,,,,,,,,S001029,,,,,412181,,,,9048,William Francis Strudwick
Swift,Zephaniah,1759-02-27,,rep,CT,Federalist,,,,,,,,,,,S001119,,,,,410571,,,,9127,
Tatom,Absalom,,,rep,NC,Republican,,,,,,,,,,,T000050,,,,,410638,,,,9187,Absalom Tatom
Trumbull,Jonathan,1740-03-26,M,sen,CT,Federalist,,,,,,,,,,,T000389,,,,,410958,,,,9489,
White,James,1749-06-16,M,rep,TN,,,,,,,,,,,,W000377,,,,,411538,,,,,James White (politician)
Blount,William,1749-03-26,M,sen,TN,Republican,,,,,,,,,,,B000570,,,,,401543,,,,806,
Goodhue,Benjamin,1748-09-20,M,sen,MA,Federalist,,,,,,,,,,,G000286,,,,,404647,,,,3674,Benjamin Goodhue
Howard,John,1752-06-04,M,sen,MD,Federalist,,,,,,,,,,,H000841,,,,,405688,,,,4628,
Hunter,John,,M,sen,SC,Republican,,,,,,,,,,,H000982,,,,,412128,,,,4753,
Laurance,John,,M,sen,NY,Federalist,,,,,,,,,,,L000120,,,,,406626,,,,5498,John Laurance
Tattnall,Josiah,,M,sen,GA,Republican,,,,,,,,,,,T000052,,,,,410640,,,,9189,Josiah Tattnall (Senator)
Allen,John,1763-06-12,M,rep,CT,Federalist,,,,,,,,,,,A000129,,,,,400785,,,,112,
Benton,Lemuel,,,rep,SC,Republican,,,,,,,,,,,B000396,,,,,401387,,,,656,
Bradbury,Theophilus,1739-11-13,,rep,MA,Federalist,,,,,,,,,,,B000735,,,,,401695,,,,947,Theophilus Bradbury
Brooks,David,,M,rep,NY,Federalist,,,,,,,,,,,B000875,,,,,401832,,,,1072,David Brooks (politician)
Bryan,Nathan,,M,rep,NC,Republican,,,,,,,,,,,B000991,,,,,401943,,,,1176,Nathan Bryan
Bullock,Stephen,1735-10-10,M,rep,MA,Federalist,,,,,,,,,,,B001053,,,,,402001,,,,1232,Stephen Bullock
Burges,Dempsey,,,rep,NC,Republican,,,,,,,,,,,B001081,,,,,402027,,,,1255,Dempsey Burges
Chapman,John,1740-10-18,M,rep,PA,Federalist,,,,,,,,,,,C000313,,,,,402455,,,,1655,John Chapman (congressman)
Chipman,Nathaniel,1752-11-15,M,sen,VT,Federalist,,,,,,,,,,,C000369,,,,,402508,,,,1706,Nathaniel Chipman
Cochran,James,1769-02-11,M,rep,NY,Federalist,,,,,,,,,,,C000563,,,,,402694,,,,1881,James Cochran (New York)
Coit,Joshua,1758-10-07,M,rep,CT,Federalist,,,,,,,,,,,C000600,,,,,402729,,,,1914,
Davenport,James,1758-10-12,M,rep,CT,Federalist,,,,,,,,,,,D000073,,,,,403211,,,,2355,
Ege,George,1748-03-09,M,rep,PA,Federalist,,,,,,,,,,,E000089,,,,,403782,,,,2881,George Ege
Foster,Theodore,1752-04-29,M,sen,RI,Republican,,,,,,,,,,,F000313,,,,,404262,,,,3315,Theodore Foster
Freeman,Nathaniel,1766-05-01,M,rep,MA,Republican,,,,,,,,,,,F000365,,,,,404311,,,,3358,"Nathaniel Freeman, Jr."
Harrison,Carter,,,rep,VA,Republican,,,,,,,,,,,H000266,,,,,412155,,,,4127,Carter Bassett Harrison
Hosmer,Hezekiah,1765-06-07,,rep,NY,Federalist,,,,,,,,,,,H000803,,,,,405652,,,,4593,Hezekiah L. Hosmer
Latimer,Henry,1752-04-24,M,sen,DE,Federalist,,,,,,,,,,,L000115,,,,,406621,,,,5494,
Lloyd,James,,M,sen,MD,Federalist,,,,,,,,,,,L000377,,,,,406869,,,,5725,
Locke,Matthew,,M,rep,NC,Republican,,,,,,,,,,,L000389,,,,,406881,,,,5734,Matthew Locke (U.S. Congress)
Machir,James,,M,rep,VA,Federalist,,,,,,,,,,,M000013,,,,,412066,,,,5879,James Machir
Mason,Stevens,1760-12-29,,sen,VA,Republican,,,,,,,,,,,M000226,,,,,407244,,,,6063,
Matthews,William,1755-04-26,M,rep,MD,Federalist,,,,,,,,,,,M000256,,,,,407274,,,,6087,William Matthews (politician)
McClenachan,Blair,,,rep,PA,Republican,,,,,,,,,,,M000336,,,,,412070,,,,6155,Blair McClenachan
McDowell,Joseph,1756-02-15,M,rep,NC,Republican,,,,,,,,,,,M000423,,,,,407424,,,,6229,
Morgan,Daniel,,M,rep,VA,Federalist,,,,,,,,,,,M000946,,,,,407914,,,,6674,Daniel Morgan
Parker,Isaac,1768-06-17,M,rep,MA,Federalist,,,,,,,,,,,P000058,,,,,408468,,,,7192,
Ross,James,1762-07-12,M,sen,PA,Federalist,,,,,,,,,,,R000448,,,,,409412,,,,8070,
Rutherfurd,John,1760-09-20,M,sen,NJ,Federalist,,,,,,,,,,,R000550,,,,,409506,,,,8150,
Schuyler,Philip,1733-11-20,M,sen,NY,Federalist,,,,,,,,,,,S000154,,,,,409661,,,,8282,Philip Schuyler
Sinnickson,Thomas,1744-12-21,M,rep,NJ,Federalist,,,,,,,,,,,S000448,,,,,409941,,,,8544,
Sitgreaves,Samuel,1764-03-16,M,rep,PA,Federalist,,,,,,,,,,,S000460,,,,,409952,,,,8555,Samuel Sitgreaves
Smith,Jeremiah,1759-11-29,M,rep,NH,Federalist,,,,,,,,,,,S000563,,,,,410045,,,,8644,
Smith,Nathaniel,1762-01-06,M,rep,CT,Federalist,,,,,,,,,,,S000595,,,,,410075,,,,8671,
Smith,William,1751-09-20,M,rep,SC,Republican,,,,,,,,,,,S000625,,,,,410100,,,,8695,William Smith (South Carolina representative)
Smith,William,,M,rep,SC,Federalist,,,,,,,,,,,S000633,,,,,410107,,,,8702,
Sprague,Peleg,1756-12-10,,rep,NH,Federalist,,,,,,,,,,,S000743,,,,,410212,,,,8802,Peleg Sprague (New Hampshire politician)
Swanwick,John,,M,rep,PA,Republican,,,,,,,,,,,S001095,,,,,410548,,,,9107,John Swanwick
Thomson,Mark,,M,rep,NJ,Federalist,,,,,,,,,,,T000232,,,,,410811,,,,9353,Mark Thomson
Van Alen,John,,M,rep,NY,Federalist,,,,,,,,,,,V000012,,,,,411070,,,,9591,John Evert Van Alen
Williams,John,,M,rep,NY,Federalist,,,,,,,,,,,W000513,,,,,411671,,,,10159,
Clayton,Joshua,1744-07-20,M,sen,DE,Federalist,,,,,,,,,,,C000497,,,,,402634,,,,1823,
Hobart,John,1738-05-06,M,sen,NY,Federalist,,,,,,,,,,,H000661,,,,,405516,,,,4469,John Sloss Hobart
North,William,,M,sen,NY,Federalist,,,,,,,,,,,N000142,,,,,408226,,,,6963,William North
Watson,James,1750-04-06,M,sen,NY,Federalist,,,,,,,,,,,W000202,,,,,411373,,,,9874,
Bartlett,Bailey,1750-01-29,,rep,MA,Federalist,,,,,,,,,,,B000198,,,,,401197,,,,484,Bailey Bartlett
Brace,Jonathan,1754-11-12,M,rep,CT,Federalist,,,,,,,,,,,B000731,,,,,401691,,,,943,
Brown,John,1736-01-27,M,rep,RI,Federalist,,,,,,,,,,,B000927,,,,,401882,,,,1116,
Brown,John,1757-09-12,M,sen,KY,Republican,,,,,,,,,,,B000929,,,,,401881,,,,1118,
Christie,Gabriel,1775-09-12,,rep,MD,Republican,,,,,,,,,,,C000382,,,,,402521,,,,1716,Gabriel Christie (Maryland)
Cocke,William,,M,sen,TN,Republican,,,,,,,,,,,C000572,,,,,402701,,,,1888,
Cooper,William,1754-12-02,M,rep,NY,Federalist,,,,,,,,,,,C000764,,,,,402884,,,,2058,
Craik,William,1761-10-31,M,rep,MD,Federalist,,,,,,,,,,,C000863,,,,,402978,,,,2139,William Craik
Davenport,Franklin,,M,rep,NJ,Federalist,,,,,,,,,,,D000069,,,,,403207,,,,2351,Franklin Davenport
Dayton,Jonathan,1760-10-16,M,sen,NJ,Federalist,,,,,,,,,,,D000165,,,,,403297,,,,2440,Jonathan Dayton
Dent,George,,M,rep,MD,Federalist,,,,,,,,,,,D000254,,,,,403392,,,,2512,George Dent
Dexter,Samuel,1761-05-14,M,sen,MA,Federalist,,,,,,,,,,,D000296,,,,,403419,,,,2550,Samuel Dexter
Dickson,Joseph,,M,rep,NC,Federalist,,,,,,,,,,,D000331,,,,,403449,,,,2581,
Edmond,William,1755-09-28,M,rep,CT,Federalist,,,,,,,,,,,E000052,,,,,403747,,,,2852,William Edmond
Eggleston,Joseph,1754-11-24,M,rep,VA,Republican,,,,,,,,,,,E000091,,,,,403784,,,,2883,Joseph Eggleston
Evans,Thomas,,M,rep,VA,Federalist,,,,,,,,,,,E000257,,,,,412146,,,,3021,Thomas Evans (congressman)
Freeman,Jonathan,1745-03-21,M,rep,NH,Federalist,,,,,,,,,,,F000364,,,,,404310,,,,3357,Jonathan Freeman (representative)
Gallatin,Albert,1761-01-29,M,rep,PA,Republican,,,,,,,,,,,G000020,,,,,404397,,,,3437,Albert Gallatin
Glen,Henry,1739-07-13,M,rep,NY,Federalist,,,,,,,,,,,G000235,,,,,404597,,,,3628,
Goode,Samuel,1756-03-21,M,rep,VA,Republican,,,,,,,,,,,G000279,,,,,404641,,,,3668,Samuel Goode
Goodrich,Elizur,1761-03-24,,rep,CT,Federalist,,,,,,,,,,,G000294,,,,,404653,,,,3679,Elizur Goodrich
Gordon,William,1763-04-12,M,rep,NH,Federalist,,,,,,,,,,,G000318,,,,,404675,,,,3701,William Gordon (New Hampshire politician)
Greene,Ray,1765-02-02,,sen,RI,Federalist,,,,,,,,,,,G000427,,,,,404775,,,,3791,Ray Greene (politician)
Hartley,Thomas,1748-09-07,M,rep,PA,Federalist,,,,,,,,,,,H000299,,,,,405172,,,,4156,
Havens,Jonathan,1757-06-18,M,rep,NY,Republican,,,,,,,,,,,H000359,,,,,405228,,,,4204,Jonathan Nicoll Havens
Imlay,James,1764-11-26,M,rep,NJ,Federalist,,,,,,,,,,,I000011,,,,,405873,,,,4800,James Henderson Imlay
Jones,James,,M,rep,GA,Federalist,,,,,,,,,,,J000227,,,,,412060,,,,5038,James Jones (Georgia)
Kittera,John,,M,rep,PA,Federalist,,,,,,,,,,,K000253,,,,,406412,,,,5310,John W. Kittera
Lee,Henry,1756-01-29,M,rep,VA,Federalist,,,,,,,,,,,L000195,,,,,406698,,,,5559,Henry Lee III
Linn,James,,M,rep,NJ,Republican,,,,,,,,,,,L000336,,,,,406829,,,,5687,James Linn
Livermore,Samuel,1732-05-14,M,sen,NH,Federalist,,,,,,,,,,,L000364,,,,,406856,,,,5713,Samuel Livermore
Lyman,Samuel,1749-01-25,M,rep,MA,Federalist,,,,,,,,,,,L000528,,,,,407012,,,,5850,Samuel Lyman
Marshall,John,1755-09-24,M,rep,VA,Federalist,,,,,,,,,,,M000157,,,,,407179,,,,6003,John Marshall
McMillan,William,1764-03-02,M,rep,OH,,,,,,,,,,,,M000571,,,,,407563,,,,,William McMillan (congressman)
Nicholas,John,,M,rep,VA,Republican,,,,,,,,,,,N000084,,,,,412171,,,,6911,John Nicholas (congressman)
Nott,Abraham,1768-02-05,M,rep,SC,Federalist,,,,,,,,,,,N000161,,,,,408242,,,,6979,Abraham Nott
Page,Robert,1765-02-04,M,rep,VA,Federalist,,,,,,,,,,,P000021,,,,,408432,,,,7159,Robert Page (Virginia politician)
Parker,Josiah,1751-05-11,M,rep,VA,Federalist,,,,,,,,,,,P000065,,,,,408475,,,,7199,Josiah Parker
