last_name,first_name,birthday,gender,type,state,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Menéndez,Robert,1954-01-01,M,sen,NJ,Democrat,http://menendez.senate.gov,528 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4744,http://menendez.senate.gov/contact/,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,349744811357,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,00791,N00000699,S306,29608,400272,26961,Bob Menendez,gIQAYgYw6O,29373,Bob Menendez
Nelson,Bill,1942-09-29,M,sen,FL,Democrat,http://www.billnelson.senate.gov,716 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5274,http://www.billnelson.senate.gov/contact/index.cfm,,SenBillNelson,,,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,00859,N00009926,S282,1931,300078,1606,Bill Nelson (Florida),gIQAlLuy9O,14651,Bill Nelson
Sanders,Bernard,1941-09-08,M,sen,VT,Independent,http://www.sanders.senate.gov,332 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,sensanders,senatorsanders,9124187907,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,01010,N00000528,S313,994,400357,27110,Bernie Sanders,gIQABiDjMP,29147,Bernie Sanders
Stabenow,Debbie,1950-04-29,F,sen,MI,Democrat,http://www.stabenow.senate.gov,133 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4822,http://www.stabenow.senate.gov/?p=contact,http://stabenow.senate.gov/rss/?p=news,StabenowPress,,,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,01531,N00004118,S284,45451,300093,515,Debbie Stabenow,gIQA5t8DAP,29732,Debbie Stabenow
Tester,Jon,1956-08-21,M,sen,MT,Democrat,http://www.tester.senate.gov,706 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2644,http://www.tester.senate.gov/Contact/index.cfm,http://www.tester.senate.gov/rss/?p=hot_topic,testerpress,senatortester,210573031664,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,01829,N00027605,S314,1020176,412244,20928,Jon Tester,gIQAw67AAP,40702,Jon Tester
Whitehouse,Sheldon,1955-10-20,M,sen,RI,Democrat,http://www.whitehouse.senate.gov,530 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2921,http://www.whitehouse.senate.gov/contact/,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,194172833926853,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,01823,N00027533,S316,92235,412247,2572,Sheldon Whitehouse,gIQA7KHw9O,40704,Sheldon Whitehouse
Barrasso,John,1952-07-21,M,sen,WY,Republican,http://www.barrasso.senate.gov,307 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6441,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,21146775942,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,01881,N00006236,S317,1024777,412251,52662,John Barrasso,gIQASOzBAP,40707,John Barrasso
Wicker,Roger,1951-07-05,M,sen,MS,Republican,http://www.wicker.senate.gov,555 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6253,http://www.wicker.senate.gov/public/index.cfm/contact,,senatorwicker,SenatorWicker,,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,01226,N00003280,S318,18203,400432,21926,Roger Wicker,gIQAC9ZCAP,29534,Roger Wicker
Alexander,Lamar,1940-07-03,M,sen,TN,Republican,http://www.alexander.senate.gov,455 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/public/?a=rss.feed,senalexander,senatorlamaralexander,89927603836,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,01695,N00009888,S289,5,300002,15691,Lamar Alexander,gIQAzZQL9O,40304,Lamar Alexander
Baucus,Max,1941-12-11,M,sen,MT,Democrat,http://www.baucus.senate.gov,511 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2651,http://www.baucus.senate.gov/contact/emailForm.cfm?subj=issue,http://baucus.senate.gov/rss/?p=news,,,,SenatorBaucus,UCpM2Mjz2u7iRDgXvk7RJyoA,B000243,00066,N00004643,S127,1727,300005,53315,Max Baucus,gIQAiQCM9O,14203,Max Baucus
Begich,Mark,1962-03-30,M,sen,AK,Democrat,http://www.begich.senate.gov,111 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3004,http://www.begich.senate.gov/public/index.cfm?p=EmailSenator,http://www.begich.senate.gov/public/?a=rss.feed,SenatorBegich,Begich,121360477876652,USSenatorMarkBegich,UC83mYjh0VxWGXVAQDp0kcBQ,B001265,01898,N00029901,S319,1030732,412326,79426,Mark Begich,gIQAlYCM9O,40900,Mark Begich
Chambliss,Saxby,1943-11-10,M,sen,GA,Republican,http://www.chambliss.senate.gov,416 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3521,http://www.chambliss.senate.gov/public/index.cfm?p=Email,http://www.chambliss.senate.gov/public/index.cfm/rss/feed,SaxbyChambliss,SaxbyChambliss,,SenatorChambliss,UCSeQuhjIOPHWutE9cLUUaeg,C000286,00188,N00002685,S290,36571,300021,22029,Saxby Chambliss,gIQAu71kDP,29512,Saxby Chambliss
Cochran,Thad,1937-12-07,M,sen,MS,Republican,http://www.cochran.senate.gov,113 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5054,http://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov/public/index.cfm/rss/feed,SenThadCochran,,,,,C000567,00213,N00003328,S136,1200,300023,53312,Thad Cochran,gIQAJk599O,14009,Thad Cochran
Collins,Susan,1952-12-07,F,sen,ME,Republican,http://www.collins.senate.gov,413 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2523,http://www.collins.senate.gov/public/index.cfm/email,http://www.collins.senate.gov/public/?a=rss.feed,senatorcollins,susancollins,7593313361,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,01541,N00000491,S252,45738,300025,379,Susan Collins,gIQAPvDu9O,49703,Susan Collins
Cornyn,John,1952-02-02,M,sen,TX,Republican,http://www.cornyn.senate.gov,517 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2934,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,75755694423,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,01692,N00024852,S287,93131,300027,15375,John Cornyn,gIQAy80L9O,40305,John Cornyn
Durbin,Richard,1944-11-21,M,sen,IL,Democrat,http://www.durbin.senate.gov,711 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2152,http://www.durbin.senate.gov/public/index.cfm/contact,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,180436795325335,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,00326,N00004981,S253,6741,300038,26847,Dick Durbin,gIQArl8V9O,15021,Dick Durbin
Enzi,Michael,1944-02-01,M,sen,WY,Republican,http://www.enzi.senate.gov,379A RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov/public/index.cfm/rss/feed,SenatorEnzi,mikeenzi,23068049436,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,01542,N00006249,S254,45824,300041,558,Mike Enzi,gIQAAWfCAP,49706,Mike Enzi
Graham,Lindsey,1955-07-09,M,sen,SC,Republican,http://www.lgraham.senate.gov,290 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5972,http://lgraham.senate.gov/public/index.cfm?FuseAction=Contact.LandingPage,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,257937783228,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,00452,N00009975,S293,36782,300047,21992,Lindsey Graham,gIQAEdOu9O,29566,Lindsey Graham
Hagan,Kay,1953-05-26,F,sen,NC,Democrat,http://www.hagan.senate.gov,521 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6342,http://www.hagan.senate.gov/?p=contact,http://www.hagan.senate.gov/rss,SenatorHagan,SenatorHagan,7871449189,SenatorHagan,UCpC6OuQ7Fp9QO5AxTr6YCUg,H001049,01902,N00029617,S320,1028015,412324,21082,Kay Hagan,gIQA2GXW9O,40907,Kay Hagan
Harkin,Thomas,1939-11-19,M,sen,IA,Democrat,http://www.harkin.senate.gov,731 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3254,http://www.harkin.senate.gov/contact.cfm,http://www.harkin.senate.gov/rss/rss.cfm,SenatorHarkin,tomharkin,252422916567,SenatorTomHarkin,UCcxu0G4LKZo1wyFx8PZyOaw,H000206,00501,N00004207,S172,2005,300051,53294,Tom Harkin,gIQAVDE09O,14230,Tom Harkin
Inhofe,James,1934-11-17,M,sen,OK,Republican,http://www.inhofe.senate.gov,205 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4721,http://www.inhofe.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,InhofePress,jiminhofe,55018309421,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,00583,N00005582,S236,5619,300055,27027,Jim Inhofe,gIQASu669O,15424,Jim Inhofe
Johanns,Mike,1950-06-18,M,sen,NE,Republican,http://www.johanns.senate.gov,404 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4224,http://www.johanns.senate.gov/public/?p=ContactSenatorJohanns,http://www.johanns.senate.gov/public/?a=RSS.Feed,Mike_Johanns,MikeJohanns,399357233834,SenatorMikeJohanns,UCC43O4ZyXSvnONBfCZgK6kw,J000291,01899,N00029444,S321,56552,412320,21309,Mike Johanns,gIQAcVOr9O,40905,Mike Johanns
Johnson,Tim,1946-12-28,M,sen,SD,Democrat,http://www.johnson.senate.gov,136 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5842,http://www.johnson.senate.gov/public/index.cfm?p=Contact,http://www.johnson.senate.gov/public/?a=rss.feed,SenJohnsonSD,Senator-Tim-Johnson,181659658522485,senatorjohnson,UCOzVSnY8D1qiC_VCyIboV0Q,J000177,00604,N00010084,S257,2545,300058,27067,"Tim Johnson, South Dakota",gIQACSr09O,15425,Tim Johnson (U.S. Senator)
Landrieu,Mary,1955-11-23,F,sen,LA,Democrat,http://www.landrieu.senate.gov,703 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5824,http://www.landrieu.senate.gov/?p=contact,http://www.landrieu.senate.gov/rss/,senlandrieu,senatormarylandrieu,122518851125820,senatorlandrieu,UCuibBU2mY55RvMf-fKVNmOw,L000550,01546,N00005395,S258,22357,300063,661,Mary Landrieu,gIQAi61x9O,49702,Mary Landrieu
Levin,Carl,1934-06-28,M,sen,MI,Democrat,http://www.levin.senate.gov,269 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6221,http://www.levin.senate.gov/contact/,http://www.levin.senate.gov/rss/feeds/?type=all,sencarllevin,carllevin,7481814545,SenCarlLevin,UC7SOPCCeV0SZ-tZNos6BasA,L000261,01384,N00001691,S131,2592,300066,53307,Carl Levin,gIQA5NHW9O,14709,Carl Levin
McConnell,Mitch,1942-02-20,M,sen,KY,Republican,http://www.mcconnell.senate.gov,317 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,,M000355,01395,N00003389,S174,2351,300072,53298,Mitch McConnell,gIQAYR2b9O,14921,Mitch McConnell
Merkley,Jeff,1956-10-24,M,sen,OR,Democrat,http://www.merkley.senate.gov,313 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,74374931545,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,01900,N00029303,S322,1029842,412325,23644,Jeff Merkley,gIQAosnb9O,40908,Jeff Merkley
Pryor,Mark,1963-01-10,M,sen,AR,Democrat,http://www.pryor.senate.gov,255 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2353,http://www.pryor.senate.gov/public/index.cfm?p=ContactMe,http://www.pryor.senate.gov/public/index.cfm/rss/feed,senmarkpryor,MarkPryor,9248638978,senatorpryor,UC2aECb4sUX_aCjkGVp0YXAw,P000590,01701,N00013823,S295,1002201,300080,35,Mark Pryor,gIQAHnsz9O,40301,Mark Pryor
Reed,John,1949-11-12,M,sen,RI,Democrat,http://www.reed.senate.gov,728 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4642,http://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,213866375370646,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,00949,N00000362,S259,24239,300081,27060,Jack Reed,gIQAT2gt9O,29142,Jack Reed (politician)
Risch,James,1943-05-03,M,sen,ID,Republican,http://www.risch.senate.gov,483 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,,,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,01896,N00029441,S323,1020034,412322,2919,Jim Risch,gIQAWIdW9O,40902,Jim Risch
Roberts,Pat,1936-04-20,M,sen,KS,Republican,http://www.roberts.senate.gov,109 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4774,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,http://www.roberts.senate.gov/public/?a=rss.feed,senpatroberts,SenPatRoberts,205694792808927,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,00968,N00005285,S260,16354,300083,26866,Pat Roberts,gIQAUECAAP,14852,Pat Roberts
Rockefeller,John,1937-06-18,M,sen,WV,Democrat,http://www.rockefeller.senate.gov,531 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6472,http://www.rockefeller.senate.gov/public/index.cfm/email-jay,http://www.rockefeller.senate.gov/public/index.cfm/rss/feed,senrockefeller,SenRockefeller,134189283320639,SenatorRockefeller,UC45nAsFKHS2P_orGnD9xndA,R000361,01424,N00001685,S176,1238,300084,53360,Jay Rockefeller,gIQAElxz9O,14922,Jay Rockefeller
Sessions,Jefferson,1946-12-24,M,sen,AL,Republican,http://www.sessions.senate.gov,326 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4124,http://www.sessions.senate.gov/public/index.cfm?FuseAction=ConstituentServices.ContactMe,http://www.sessions.senate.gov/public/index.cfm?fuseaction=rss.feed,SenatorSessions,jeffsessions,23444159584,SenatorSessions,UCd5Nv9gL89TCR03kD2SfaIQ,S001141,01548,N00003062,S261,44441,300088,443,Jeff Sessions,gIQAHXOBAP,49700,Jeff Sessions
Shaheen,Jeanne,1947-01-28,F,sen,NH,Democrat,http://www.shaheen.senate.gov,520 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2841,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,127503767282103,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,01901,N00024790,S324,22850,412323,1663,Jeanne Shaheen,gIQAZP1b9O,40906,Jeanne Shaheen
Udall,Mark,1950-07-18,M,sen,CO,Democrat,http://www.markudall.senate.gov,730 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5941,http://www.markudall.senate.gov/?p=contact,http://markudall.senate.gov/rss/?p=blog,MarkUdall,markudall,17204170252,senatormarkudall,UCjVtgo9lHlU5uhcG3pwC8eg,U000038,01595,N00008051,S325,7634,400412,12329,Mark Udall,gIQAz6eM9O,29906,Mark Udall
Udall,Tom,1948-05-18,M,sen,NM,Democrat,http://www.tomudall.senate.gov,110 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6621,http://www.tomudall.senate.gov/?p=contact,http://tomudall.senate.gov/rss/?p=blog,SenatorTomUdall,senatortomudall,106433512869,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,01567,N00006561,S326,10075,400413,22658,Tom Udall,gIQAv2eM9O,29924,Tom Udall
Warner,Mark,1954-12-15,M,sen,VA,Democrat,http://www.warner.senate.gov,475 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,7935122852,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,01897,N00002097,S327,7630,412321,535,Mark Warner,gIQAUqPM9O,40909,Mark Warner
Gillibrand,Kirsten,1966-12-09,F,sen,NY,Democrat,http://www.gillibrand.senate.gov,478 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4451,http://www.gillibrand.senate.gov/contact/,http://www.gillibrand.senate.gov/rss/,,,,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,01866,N00027658,S331,1022862,412223,65147,Kirsten Gillibrand,gIQAz4Kt9O,20735,Kirsten Gillibrand
Franken,Alan,1951-05-21,M,sen,MN,Democrat,http://www.franken.senate.gov,309 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5641,http://www.franken.senate.gov/?p=contact,http://franken.senate.gov/rss/?p=hot_topic,,,,SenatorFranken,UCMFNp5ybWmz6IlSXmPacTOw,F000457,01969,N00029016,S332,23334,412378,108924,Al Franken,gIQAnCqo9O,40904,Al Franken
Coons,Chris,1963-09-09,M,sen,DE,Democrat,http://www.coons.senate.gov,127A RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5042,http://www.coons.senate.gov/contact/,http://www.coons.senate.gov/rss/feeds/?type=all,SenCoonsOffice,senatorchriscoons,254950754518205,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,01984,N00031820,S337,9269028,412390,122834,Chris Coons,gIQAaKfTKP,40916,Chris Coons
Manchin,Joe,1947-08-24,M,sen,WV,Democrat,http://www.manchin.senate.gov,306 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,10150135395755161,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,01983,N00032838,S338,62864,412391,7547,Joe Manchin III,gIQA82bVBP,40915,Joe Manchin
Aderholt,Robert,1965-07-22,M,rep,AL,Republican,http://aderholt.house.gov,2369 Rayburn HOB; Washington DC 20515-0104,202-225-4876,http://aderholt.house.gov/?sectionid=195&amp;sectiontree=195,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,19787529402,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,01460,N00003028,,45516,400004,441,Robert B. Aderholt,gIQAw6QSAP,29701,Robert Aderholt
Amash,Justin,1980-04-18,M,rep,MI,Republican,http://amash.house.gov,114 Cannon HOB; Washington DC 20515-2203,202-225-3831,http://amash.house.gov/contact-me/email-me,http://amash.house.gov/rss.xml,repjustinamash,repjustinamash,173604349345646,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,02029,N00031938,,1033767,412438,105566,Justin Amash,gIQAMkzZKP,21143,Justin Amash
Andrews,Robert,1957-08-04,M,rep,NJ,Democrat,http://andrews.house.gov,2265 Rayburn HOB; Washington DC 20515-3001,202-225-6501,http://andrews.house.gov/contact-me/email-me,http://andrews.house.gov/rss.xml,,,,,,A000210,00021,N00000826,,19670,400008,26949,,gIQAJy6OAP,29132,Rob Andrews
Ayotte,Kelly,1968-06-27,F,sen,NH,Republican,http://www.ayotte.senate.gov,144 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3324,http://www.ayotte.senate.gov/?p=contact,http://ayotte.senate.gov/rss/?p=news,,kellyayottenh,123436097729198,SenatorAyotte,UCe_jD6bQuBwAo4CxwUm_ztw,A000368,02075,N00030980,S340,95241,412493,42352,Kelly A. Ayotte,gIQA6LfTKP,41106,Kelly Ayotte
Bachmann,Michele,1956-04-06,F,rep,MN,Republican,http://bachmann.house.gov,2417 Rayburn HOB; Washington DC 20515-2306,202-225-2331,https://bachmann.house.gov/contact/email-michele,http://bachmann.house.gov/rss.xml,MicheleBachmann,RepMicheleBachmann,7658849357,RepMicheleBachmann,UCugjjg1cjnbVcdJxngyxcAg,B001256,01858,N00027493,,1021492,412216,54675,Michele Bachmann,gIQALIcw9O,20728,Michele Bachmann
Bachus,Spencer,1947-12-28,M,rep,AL,Republican,http://bachus.house.gov,2246 Rayburn HOB; Washington DC 20515-0106,202-225-4921,http://www.house.gov/writerep/,http://bachus.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,BachusAL06,SpencerBachus,6769692966,congressmanbachus,UC6lvOGDuhTAsg9UsU9KvqMw,B000013,00038,N00008091,,26397,400010,26715,Spencer Bachus,gIQArA1L9O,29301,Spencer Bachus
Baldwin,Tammy,1962-02-11,F,sen,WI,Democrat,http://www.baldwin.senate.gov,717 HART WASHINGTON DC 20510,202-224-5653,http://www.baldwin.senate.gov/contact,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,TammyBaldwin,7357041101,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,01558,N00004367,S354,57884,400013,3470,Tammy Baldwin,gIQAgHwPAP,29940,Tammy Baldwin
